asv_id	sample	nreads
bb35c3f378e0b676e40a473e70216f9c	EDNA74	106035
bb35c3f378e0b676e40a473e70216f9c	EDNA75	6195
bb35c3f378e0b676e40a473e70216f9c	EDNA76	5
bb35c3f378e0b676e40a473e70216f9c	EDNA90	928
bb35c3f378e0b676e40a473e70216f9c	EDNA77	17
bb35c3f378e0b676e40a473e70216f9c	EDNA91	289042
bb35c3f378e0b676e40a473e70216f9c	EDNA78	9
bb35c3f378e0b676e40a473e70216f9c	EDNA92	204077
bb35c3f378e0b676e40a473e70216f9c	EDNA79	112690
bb35c3f378e0b676e40a473e70216f9c	EDNA93	180677
bb35c3f378e0b676e40a473e70216f9c	EDNA94	253738
bb35c3f378e0b676e40a473e70216f9c	EDNA95	215021
bb35c3f378e0b676e40a473e70216f9c	EDNA96	141671
bb35c3f378e0b676e40a473e70216f9c	EDNA97	74738
bb35c3f378e0b676e40a473e70216f9c	EDNA98	103595
bb35c3f378e0b676e40a473e70216f9c	MB20	540084
bb35c3f378e0b676e40a473e70216f9c	EDNA99	188522
bb35c3f378e0b676e40a473e70216f9c	MB21	505793
bb35c3f378e0b676e40a473e70216f9c	MB22	355681
bb35c3f378e0b676e40a473e70216f9c	MB23	477119
bb35c3f378e0b676e40a473e70216f9c	MB24	418662
bb35c3f378e0b676e40a473e70216f9c	MB25	451072
bb35c3f378e0b676e40a473e70216f9c	EDNA20	19
bb35c3f378e0b676e40a473e70216f9c	EDNA21	53
bb35c3f378e0b676e40a473e70216f9c	EDNA22	284339
bb35c3f378e0b676e40a473e70216f9c	EDNA23	72592
bb35c3f378e0b676e40a473e70216f9c	EDNA24	178536
bb35c3f378e0b676e40a473e70216f9c	EDNA25	199834
bb35c3f378e0b676e40a473e70216f9c	EDNA26	171506
bb35c3f378e0b676e40a473e70216f9c	EDNA40	94625
bb35c3f378e0b676e40a473e70216f9c	EDNA27	334456
bb35c3f378e0b676e40a473e70216f9c	EDNA41	228666
bb35c3f378e0b676e40a473e70216f9c	EDNA28	19
bb35c3f378e0b676e40a473e70216f9c	EDNA42	216890
bb35c3f378e0b676e40a473e70216f9c	EDNA29	7544
bb35c3f378e0b676e40a473e70216f9c	EDNA43	179486
bb35c3f378e0b676e40a473e70216f9c	EDNA44	204657
bb35c3f378e0b676e40a473e70216f9c	EDNA45	327173
0f2ddd2f167b65803b7712e07eb7517a	EDNA46	31577
0f2ddd2f167b65803b7712e07eb7517a	EDNA1	286935
0f2ddd2f167b65803b7712e07eb7517a	EDNA60	39616
0f2ddd2f167b65803b7712e07eb7517a	EDNA47	76957
0f2ddd2f167b65803b7712e07eb7517a	EDNA2	100089
0f2ddd2f167b65803b7712e07eb7517a	EDNA61	71704
0f2ddd2f167b65803b7712e07eb7517a	EDNA48	26998
0f2ddd2f167b65803b7712e07eb7517a	EDNA3	302081
0f2ddd2f167b65803b7712e07eb7517a	EDNA62	53369
0f2ddd2f167b65803b7712e07eb7517a	EDNA49	4
0f2ddd2f167b65803b7712e07eb7517a	EDNA63	70494
0f2ddd2f167b65803b7712e07eb7517a	EDNA7	370068
0f2ddd2f167b65803b7712e07eb7517a	EDNA65	3
0f2ddd2f167b65803b7712e07eb7517a	EDNA8	213238
0f2ddd2f167b65803b7712e07eb7517a	EDNA66	3
0f2ddd2f167b65803b7712e07eb7517a	EDNA9	182348
0f2ddd2f167b65803b7712e07eb7517a	EDNA80	200
0f2ddd2f167b65803b7712e07eb7517a	EDNA67	6
0f2ddd2f167b65803b7712e07eb7517a	EDNA81	351
0f2ddd2f167b65803b7712e07eb7517a	EDNA68	51
0f2ddd2f167b65803b7712e07eb7517a	EDNA82	134
0f2ddd2f167b65803b7712e07eb7517a	EDNA69	3
0f2ddd2f167b65803b7712e07eb7517a	EDNA83	93
0f2ddd2f167b65803b7712e07eb7517a	EDNA84	40
0f2ddd2f167b65803b7712e07eb7517a	EDNA85	1523
0f2ddd2f167b65803b7712e07eb7517a	EDNA86	1069
0f2ddd2f167b65803b7712e07eb7517a	EDNA87	704
0f2ddd2f167b65803b7712e07eb7517a	EDNA88	14
0f2ddd2f167b65803b7712e07eb7517a	MB10	3
0f2ddd2f167b65803b7712e07eb7517a	EDNA89	7
0f2ddd2f167b65803b7712e07eb7517a	MB11	300
0f2ddd2f167b65803b7712e07eb7517a	MB12	6
0f2ddd2f167b65803b7712e07eb7517a	MB13	117
0f2ddd2f167b65803b7712e07eb7517a	MB14	5
0f2ddd2f167b65803b7712e07eb7517a	MB15	40
0f2ddd2f167b65803b7712e07eb7517a	MB1	402
0f2ddd2f167b65803b7712e07eb7517a	MB16	24
0f2ddd2f167b65803b7712e07eb7517a	MB2	7257
0f2ddd2f167b65803b7712e07eb7517a	MB4	667
0f2ddd2f167b65803b7712e07eb7517a	MB5	743
0f2ddd2f167b65803b7712e07eb7517a	MB6	766
0f2ddd2f167b65803b7712e07eb7517a	MB7	81
0f2ddd2f167b65803b7712e07eb7517a	MB8	30
0f2ddd2f167b65803b7712e07eb7517a	EDNA100	7
0f2ddd2f167b65803b7712e07eb7517a	MB9	92
0f2ddd2f167b65803b7712e07eb7517a	EDNA101	13
0f2ddd2f167b65803b7712e07eb7517a	EDNA102	14
0f2ddd2f167b65803b7712e07eb7517a	CTRL1	5
0f2ddd2f167b65803b7712e07eb7517a	CTRL2	472
0f2ddd2f167b65803b7712e07eb7517a	EDNA10	262620
0f2ddd2f167b65803b7712e07eb7517a	EDNA11	377334
0f2ddd2f167b65803b7712e07eb7517a	EDNA12	219689
0f2ddd2f167b65803b7712e07eb7517a	EDNA13	201853
0f2ddd2f167b65803b7712e07eb7517a	EDNA14	230969
0f2ddd2f167b65803b7712e07eb7517a	EDNA15	246426
0f2ddd2f167b65803b7712e07eb7517a	EDNA16	200856
0f2ddd2f167b65803b7712e07eb7517a	EDNA17	398429
0f2ddd2f167b65803b7712e07eb7517a	EDNA30	10
0f2ddd2f167b65803b7712e07eb7517a	EDNA18	293555
0f2ddd2f167b65803b7712e07eb7517a	EDNA31	169924
0f2ddd2f167b65803b7712e07eb7517a	EDNA19	25
0f2ddd2f167b65803b7712e07eb7517a	EDNA32	325294
0f2ddd2f167b65803b7712e07eb7517a	EDNA33	88071
0f2ddd2f167b65803b7712e07eb7517a	EDNA34	93382
0f2ddd2f167b65803b7712e07eb7517a	EDNA35	166847
0f2ddd2f167b65803b7712e07eb7517a	EDNA36	87340
0f2ddd2f167b65803b7712e07eb7517a	EDNA50	2
0f2ddd2f167b65803b7712e07eb7517a	EDNA37	24
0f2ddd2f167b65803b7712e07eb7517a	EDNA51	12
0f2ddd2f167b65803b7712e07eb7517a	EDNA38	22
0f2ddd2f167b65803b7712e07eb7517a	EDNA52	29430
0f2ddd2f167b65803b7712e07eb7517a	EDNA39	5
0f2ddd2f167b65803b7712e07eb7517a	EDNA53	52603
0f2ddd2f167b65803b7712e07eb7517a	EDNA54	55033
0f2ddd2f167b65803b7712e07eb7517a	EDNA55	123413
0f2ddd2f167b65803b7712e07eb7517a	EDNA56	68706
0f2ddd2f167b65803b7712e07eb7517a	EDNA70	6
0f2ddd2f167b65803b7712e07eb7517a	EDNA57	56558
0f2ddd2f167b65803b7712e07eb7517a	EDNA71	6
0f2ddd2f167b65803b7712e07eb7517a	EDNA58	128030
0f2ddd2f167b65803b7712e07eb7517a	EDNA72	6
0f2ddd2f167b65803b7712e07eb7517a	EDNA59	38145
0f2ddd2f167b65803b7712e07eb7517a	EDNA73	599
0f2ddd2f167b65803b7712e07eb7517a	EDNA74	139
0f2ddd2f167b65803b7712e07eb7517a	EDNA75	439
0f2ddd2f167b65803b7712e07eb7517a	EDNA76	1
0f2ddd2f167b65803b7712e07eb7517a	EDNA90	8
0f2ddd2f167b65803b7712e07eb7517a	EDNA77	2
0f2ddd2f167b65803b7712e07eb7517a	EDNA91	27953
0f2ddd2f167b65803b7712e07eb7517a	EDNA92	45508
0f2ddd2f167b65803b7712e07eb7517a	EDNA79	758
0f2ddd2f167b65803b7712e07eb7517a	EDNA93	40565
0f2ddd2f167b65803b7712e07eb7517a	EDNA94	69592
0f2ddd2f167b65803b7712e07eb7517a	EDNA95	48407
0f2ddd2f167b65803b7712e07eb7517a	EDNA96	69911
0f2ddd2f167b65803b7712e07eb7517a	EDNA97	117607
0f2ddd2f167b65803b7712e07eb7517a	EDNA98	90424
0f2ddd2f167b65803b7712e07eb7517a	EDNA99	59452
0f2ddd2f167b65803b7712e07eb7517a	MB23	6
0f2ddd2f167b65803b7712e07eb7517a	MB24	6
0f2ddd2f167b65803b7712e07eb7517a	MB25	269
0f2ddd2f167b65803b7712e07eb7517a	EDNA20	21
0f2ddd2f167b65803b7712e07eb7517a	EDNA21	25
0f2ddd2f167b65803b7712e07eb7517a	EDNA22	88410
0f2ddd2f167b65803b7712e07eb7517a	EDNA23	216319
0f2ddd2f167b65803b7712e07eb7517a	EDNA24	90777
0f2ddd2f167b65803b7712e07eb7517a	EDNA25	130280
0f2ddd2f167b65803b7712e07eb7517a	EDNA26	198009
0f2ddd2f167b65803b7712e07eb7517a	EDNA40	25991
0f2ddd2f167b65803b7712e07eb7517a	EDNA27	77093
0f2ddd2f167b65803b7712e07eb7517a	EDNA41	42309
0f2ddd2f167b65803b7712e07eb7517a	EDNA28	12
0f2ddd2f167b65803b7712e07eb7517a	EDNA42	24217
0f2ddd2f167b65803b7712e07eb7517a	EDNA29	74
0f2ddd2f167b65803b7712e07eb7517a	EDNA43	18061
0f2ddd2f167b65803b7712e07eb7517a	EDNA44	53818
0f2ddd2f167b65803b7712e07eb7517a	EDNA45	10833
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA46	24840
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA1	7235
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA60	118301
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA47	20143
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA2	5635
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA61	168610
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA48	18843
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA3	6999
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA62	128230
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA49	7
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA63	178679
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA64	17
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA7	4727
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA65	22
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA8	5640
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA66	7
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA9	4575
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA80	48099
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA67	107233
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA81	55687
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA68	89440
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA82	98545
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA69	83863
8bcb02b4a7c8f77f76efd3e2fee2dd51	EDNA83	95926
